name,handi,move,wrbefore,wrafter,wrdiff,shaperat,shapelog,pntavebf,pntaveaf,pntavediff,pntstdbf,pntstdaf,pntstddiff,dist01,dist12,dist20,dist0b,dist1b,dist2b,lastown1,afterown1,diffown1,lastown2,afterown2,diffown2,bdec30,bdecsum,wdec30,wdecsum,label1,label2,rand
Kat01_cho_0323_1,4,9,0.205588,0.213635,0.008047,0.121234667,14.14450059,37.2305,36.131,-1.0995,47.4584,47.6143,0.1559,3,5,2,2,5,0,56,88,32,55,41.25,-13.75,0,42,1,116,bad,BIBIRI,0.416375507
Kat01_cho_0323_1,4,13,0.216053,0.222776,0.006723,9.978172173,18.57887216,34.9391,34.2133,-0.7258,46.9678,47.3534,0.3856,1,1.414213562,1,2,3,2.236067977,58,87,29,50.75,43.875,-6.875,0,45,0,85,bad,KATACHI,0.854893242
Kat01_cho_0323_1,4,29,0.22678,0.236086,0.009306,0.074171328,13.88800237,29.1894,28.1565,-1.0329,43.6344,43.0385,-0.5959,1.414213562,2.236067977,2.236067977,2,3.16227766,4.123105626,65,93,28,64.125,50.875,-13.25,0,23,0,77,bad,KATACHI,0.390933733
Kat01_cho_0323_1,4,31,0.236086,0.248386,0.0123,5.65050108,18.65791533,28.1565,26.1177,-2.0388,43.0385,41.2818,-1.7567,2.828427125,1.414213562,3.16227766,1,2.236067977,2.236067977,67,96,29,50.875,50.625,-0.25,0,20,0,83,bad,KATACHI,0.235051621
Kat01_cho_0323_1,4,41,0.268904,0.308078,0.039174,1.252277247,16.0860649,23.1731,18.7517,-4.4214,40.4295,41.2713,0.8418,1.414213562,10,9.055385138,3.16227766,4.472135955,6.32455532,60,83,23,51.5,42.625,-8.875,0,35,1,87,bad,CHIISAI,0.490830614
Kat01_cho_0323_1,4,43,0.308078,0.340843,0.032765,0.29496309,15.16952963,18.7517,16.2484,-2.5033,41.2713,41.4693,0.198,2.236067977,2,2.236067977,6,4.123105626,4.123105626,55,79,24,50.625,46.125,-4.5,0,33,1,73,bad,KATACHI,0.525716876
Kat01_cho_0323_1,4,47,0.331102,0.377919,0.046817,2.945122079,17.0336333,17.2034,10.3871,-6.8163,43.1837,40.6497,-2.534,4,2.236067977,3.605551275,2.236067977,3.605551275,2,45,73,28,58.375,46.5,-11.875,0,122,1,130,bad,KATACHI,0.058450677
Kat02_Kob_0326_2,4,11,0.203158,0.214992,0.011834,0.051684018,14.01497434,36.4626,35.1754,-1.2872,46.0492,46.6245,0.5753,2.236067977,1.414213562,2.236067977,1.414213562,1,1,69,87,18,63.875,47.375,-16.5,0,23,1,93,bad,BIBIRI,0.79462983
Kat02_Kob_0326_2,4,15,0.223467,0.190503,-0.032964,0.106137296,13.59068059,34.8251,35.3425,0.5174,47.4533,42.6357,-4.8176,4,4,8,2,4.472135955,8.246211251,67,92,25,69.125,47.125,-22,1,34,1,63,bad,BIBIRI,0.478698914
Kat02_Kob_0326_2,4,17,0.190503,0.229062,0.038559,0.013869383,14.74782581,35.3425,28.1466,-7.1959,42.6357,40.7711,-1.8646,3,3.16227766,1,1,3.16227766,0,88,96,8,43.375,35.875,-7.5,0,123,2,201,bad,SOPPO,0.797458366
Kat02_Kob_0326_2,4,19,0.229062,0.229022,-4.00E-05,24.02138216,19.8834602,28.1466,25.672,-2.4746,40.7711,38.2142,-2.5569,1.414213562,2,1.414213562,1.414213562,2,0,52,96,44,62.75,52.125,-10.625,0,49,2,150,bad,KATACHI,0.563576992
Kat02_Kob_0326_2,4,21,0.229022,0.233479,0.004457,66.31964177,21.88383088,25.672,24.9202,-0.7518,38.2142,38.0342,-0.18,1,1.414213562,1,1,0,1.414213562,83,90,7,42.75,42.25,-0.5,0,68,0,83,bad,OTUKIAI,0.764108186
Kat02_Kob_0326_2,4,27,0.245241,0.260969,0.015728,0.781692554,16.41170661,21.4792,22.1281,0.6489,35.5196,39.0811,3.5615,4.242640687,3.16227766,2,1.414213562,4.472135955,1.414213562,43,85,42,56.5,57,0.5,0,40,1,105,bad,SOPPO,0.163512046
