name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Oon15_Sue_0329_15,37,0.99459938,0.994699759,0.000100379,17.33086173,17.26479711,-0.06606462,1
Tak16_cho_0329_9,87,0.993383072,0.988104085,-0.005278986,7.783767794,7.755581534,-0.02818626,1
Oon01_cho_0329_1,21,0.991798201,0.991205715,-0.000592486,19.31753833,18.9504085,-0.367129832,1
Tak08_Kob_0329_1,79,0.99818808,0.998247189,5.91E-05,33.53717926,47.33119965,13.79402039,1
Sat01_Ike_0229_1,95,0.000597056,0.00060442,7.36E-06,-32.53978357,-32.98379571,-0.44401214,1
Oon16_cho_0329_16,89,0.969651687,0.938335193,-0.031316494,1.265748055,1.169447519,-0.096300536,1
Tak19_Sue_0330_1,97,0.992009525,0.993798233,0.001788708,3.770482649,4.284369091,0.513886442,1
Sat10_cho_0302_4,5,0.999779407,0.999640102,-0.000139305,46.46078461,41.9594914,-4.501293215,1
Sat13_cho_0303_3,93,0.000692973,0.000665621,-2.74E-05,-39.00788926,-47.40429318,-8.396403913,1
Yas15_Sue_0328_15,3,0.997284136,0.996642812,-0.000641324,21.09977624,18.97557227,-2.124203965,1
Yam02_Kob_0223_2,69,0.004416109,0.003575655,-0.000840454,-31.04128903,-31.10745542,-0.066166385,1
Tak12_Sue_0329_5,67,0.999747811,0.999784453,3.66E-05,82.27073048,103.3161564,21.04542597,1
Sat16_cho_0304_2,89,0.004018304,0.003288527,-0.000729777,-9.002366915,-10.01645762,-1.014090705,1
Sat04_cho_0301_2,45,0.774482659,0.506625362,-0.267857296,1.956721977,0.252958796,-1.703763181,1
Oon04_Sue_0329_4,81,0.59833453,0.607067583,0.008733053,0.776813065,0.920629506,0.143816441,1
Sat15_Sue_0304_1,23,0.998486622,0.99847563,-1.10E-05,28.84746888,28.6263536,-0.221115281,1
Yam05_Kob_0229_2,71,0.001150209,0.00122094,7.07E-05,-21.20623814,-23.00361196,-1.797373817,1
Yas06_Sue_0328_6,51,0.993464548,0.989061968,-0.004402579,22.77466366,14.03087291,-8.743790745,1
Yas14_Kob_0328_14,45,0.996273339,0.995429711,-0.000843627,19.80826599,15.93704481,-3.871221181,1
Tak19_Sue_0330_1,7,0.99969057,0.999689094,-1.48E-06,40.44639538,41.26552455,0.819129166,1
Yam05_Kob_0229_2,51,0.001821334,0.001823303,1.97E-06,-17.64858924,-21.1284581,-3.479868863,1
Oon11_Kob_0329_11,49,0.963978752,0.960489035,-0.003489717,6.878872207,6.224104332,-0.654767875,1
Kat01_cho_0323_1,41,0.993567788,0.989373331,-0.004194457,15.92807502,15.12252887,-0.805546156,1
Yas16_cho_0328_16,85,0.022770884,0.005099546,-0.017671338,-2.666082592,-4.66593527,-1.999852678,1
Sat07_cho_0302_1,23,0.997894019,0.99388391,-0.004010109,27.09243111,20.09848253,-6.993948584,1
Yam06_Sue_0229_3,33,0.067492821,0.014461469,-0.053031351,-9.652171085,-12.95275428,-3.300583192,1
Sat05_Kob_0301_3,27,0.99896977,0.998279506,-0.000690265,31.34091829,25.6279791,-5.712939188,1
Tak18_Kob_0329_11,1,0.99559135,0.994267186,-0.001324164,17.3996686,15.57893386,-1.820734742,1
