,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
0,3,59,0.050883446,-2.978217636,0.946961943,0.942430254,-0.004531689,2.514465041,2.143814614,-0.370650427,4.242640687,-0.978283387,-0.976505124,-0.001778264,0
1,2,83,0.002793251,-5.88054902,0.998202746,0.997209828,-0.000992918,34.94975419,22.53336303,-12.41639115,1.414213562,0.879806567,-0.563130653,1.442937221,0
2,2,31,0.001158094,-6.7609798,0.994449556,0.993456114,-0.000993442,19.4827469,18.50560518,-0.977141716,7,0.758562592,0.963996909,-0.205434317,0
3,4,91,0.048180096,-3.032809292,0.002540043,0.002217033,-0.00032301,-8.387959385,-10.14836501,-1.760405629,4.123105626,0.992990616,0.999013164,-0.006022548,0
4,2,5,0.009839476,-4.621352813,0.994025655,0.993505462,-0.000520193,26.78148653,22.96571336,-3.815773171,2.236067977,0.347600098,0.311562431,0.036037667,1
5,3,35,0.000911245,-7.000698436,0.993804452,0.993761983,-4.25E-05,22.72784341,22.29856894,-0.429274477,0,0.304229937,0.863757136,-0.559527198,0
6,2,13,0.001096405,-6.81571834,0.993001024,0.991699869,-0.001301155,23.14411953,22.9362084,-0.207911128,1,0.289411364,0.3321588,-0.042747436,0
7,4,25,0.004227931,-5.466042496,0.997872822,0.997883943,1.11E-05,55.21184678,52.76812015,-2.443726633,4.123105626,0.885708028,0.222743075,0.662964953,0
8,2,35,0.001027138,-6.880979239,0.99463704,0.992678758,-0.001958282,31.63755701,26.17821627,-5.45934074,6,0.813083951,0.243493927,0.569590024,0
9,4,55,0.001883155,-6.274806611,0.992598796,0.992399658,-0.000199138,19.85075135,19.61903702,-0.231714331,0,-0.420400506,0.971700164,-1.392100669,0
10,4,39,0.002934403,-5.831251247,0.989950738,0.968314804,-0.021635934,13.55642014,9.70089794,-3.855522202,7.071067812,-0.378974356,-0.534921458,0.155947102,0
11,4,43,0.00246366,-6.006107147,0.986407563,0.987036062,0.000628499,22.71305384,19.87522873,-2.837825107,0,-0.247350152,0.522738147,-0.770088299,0
12,4,73,0.0015132,-6.493528436,0.01777033,0.003401566,-0.014368764,-11.57121257,-45.15661238,-33.58539981,3.16227766,-0.842268613,0.953821617,-1.79609023,1
13,2,25,0.007616134,-4.87748634,0.995937874,0.995097982,-0.000839892,32.74748828,28.38397038,-4.363517898,1.414213562,0.272948782,0.769115787,-0.496167006,0
14,4,9,0.001,-6.907755279,0.997269807,0.997162366,-0.000107441,44.21424918,36.90947391,-7.304775266,7.211102551,0.302822513,0.082185957,0.220636556,1
15,2,57,0.000600773,-7.417293839,0.214050608,0.03983375,-0.174216857,-15.02548393,-17.44694195,-2.421458019,6,-0.865270556,0.774417885,-1.639688441,1
16,2,13,0.014056908,-4.264641334,0.994806937,0.993727865,-0.001079072,27.66148372,23.74369848,-3.91778524,7,-0.326088707,0.962632102,-1.288720809,0
17,4,39,0.001231608,-6.699434945,0.983653263,0.979619364,-0.0040339,32.96293029,23.98142994,-8.981500347,5.656854249,-0.336328839,-0.752179023,0.415850185,0
18,4,1,0.001,-6.907755279,0.997444097,0.997316072,-0.000128025,51.29789321,49.12435392,-2.173539295,5.099019514,0.421544871,0.269394191,0.15215068,0
19,4,87,0.001179538,-6.742632272,0.002764999,0.002088391,-0.000676608,-5.264880394,-9.559725845,-4.294845451,9.219544457,-0.997462876,-0.978879788,-0.018583088,1
20,2,111,0.0331809,-3.405780872,0.005377024,0.007721954,0.00234493,-7.111755068,-22.33647772,-15.22472265,4,-0.997371111,-0.439364223,-0.558006888,0
21,4,33,0.001377874,-6.587213593,0.998026273,0.998053051,2.68E-05,53.73327222,49.1178899,-4.615382323,1.414213562,0.582200998,0.939776222,-0.357575224,0
22,2,33,0.393333465,-0.933097516,0.970133561,0.887279325,-0.082854236,17.299241,10.04097709,-7.25826391,5.099019514,0.377948903,-0.366592682,0.744541585,1
23,4,17,0.042074215,-3.168320204,0.997087405,0.996990364,-9.70E-05,33.11069523,28.8669714,-4.243723829,6.08276253,-0.051880387,-0.342964095,0.291083708,0
24,3,5,0.037437506,-3.285082242,0.995762586,0.996038257,0.000275671,35.4814584,34.43657524,-1.044883161,2.236067977,0.262364367,0.239803622,0.022560745,0
25,2,9,0.000847611,-7.073088417,0.994337419,0.99425137,-8.60E-05,24.7847376,24.1363439,-0.6483937,0,0.508480528,-0.812596063,1.321076591,0
26,2,27,0.002707028,-5.911903988,0.987823735,0.836695449,-0.151128286,21.65458313,7.253783064,-14.40080007,5,-0.271520634,-0.048458186,-0.223062448,0
27,2,69,0.001,-6.907755279,0.996345463,0.995692433,-0.00065303,48.7960946,45.81800551,-2.978089096,0,0.983738968,-0.946277385,1.930016353,0
28,4,67,0.000864022,-7.053911918,0.99574331,0.996464431,0.000721121,25.54877125,22.87967542,-2.669095832,0,0.99208963,0.388349866,0.603739764,0
29,2,89,0.309570074,-1.172570802,0.995778169,0.995131059,-0.00064711,33.45448622,31.08503349,-2.369452731,5.656854249,0.990801877,-0.496646294,1.487448172,0
30,4,55,0.001,-6.907755279,0.368637773,0.188992098,-0.179645674,-4.015273726,-6.862760248,-2.847486522,12.52996409,-0.439306418,-0.714537104,0.275230686,0
31,4,57,0.002191039,-6.123379402,0.572001428,0.54298721,-0.029014218,0.827078973,0.932062638,0.104983666,5.656854249,-0.956239892,0.984135721,-1.940375613,0
32,4,59,0.000918334,-6.992949652,0.992902564,0.994256987,0.001354424,19.71760074,15.97145066,-3.746150079,4.242640687,-0.641559881,-0.816421559,0.174861678,0
33,2,31,0.000887369,-7.027249216,0.909335135,0.866753323,-0.042581811,10.09726861,9.210292136,-0.886976475,2,-0.091089494,-0.328801674,0.237712181,0
34,2,27,0.000891678,-7.022405829,0.993011406,0.990599634,-0.002411772,25.41407602,23.8981047,-1.515971323,1.414213562,-0.650487832,-0.194571431,-0.455916401,0
35,4,15,0.015610062,-4.159839599,0.997661646,0.997715379,5.37E-05,56.53579057,54.68802034,-1.847770237,0,-0.490094816,-0.284988743,-0.205106073,1
36,2,51,0.001367807,-6.594546608,0.981244992,0.956976465,-0.024268527,20.93135967,17.34836894,-3.582990734,2,-0.455487001,-0.735296366,0.279809366,0
37,2,17,0.001,-6.907755279,0.991860608,0.991865935,5.33E-06,23.10311216,23.10173404,-0.001378119,0,0.255492368,0.232470708,0.02302166,0
38,3,5,0.002695547,-5.916154145,0.996916666,0.996540973,-0.000375693,39.95229975,37.97789887,-1.974400878,1,0.809715533,0.257711688,0.552003846,0
39,4,83,0.000966762,-6.941558136,0.996329277,0.994714603,-0.001614675,10.87372278,10.24752642,-0.626196355,3,0.994483506,0.98856818,0.005915326,0
40,3,45,0.019037938,-3.961321567,0.996267854,0.996228854,-3.90E-05,34.60549336,32.82919724,-1.776296113,5.385164807,-0.970162284,0.985713952,-1.955876236,0
41,4,69,0.437239468,-0.827274252,0.064868643,0.065565573,0.000696929,-1.041867849,-1.037234705,0.004633144,0,0.817587431,0.150948696,0.666638735,0
42,2,37,0.244960114,-1.40665988,0.958012445,0.939167417,-0.018845028,13.20226189,10.80191236,-2.400349521,3.16227766,-0.846935388,-0.940021564,0.093086176,0
43,2,35,0.115949944,-2.154596701,0.864496996,0.561520186,-0.30297681,9.282520188,0.51853757,-8.763982618,4,-0.98171092,0.649723382,-1.631434302,0
44,2,29,0.003920859,-5.541444586,0.83130328,0.782351492,-0.048951787,6.866491464,5.355988403,-1.510503061,6.403124237,0.98738618,0.491464472,0.495921708,1
45,2,67,0.007520659,-4.890101526,0.609486032,0.611459816,0.001973784,2.418415373,2.480764114,0.06234874,0,0.885816356,0.904188298,-0.018371942,0
46,4,31,0.001,-6.907755279,0.996104951,0.993759958,-0.002344993,25.12954629,18.93355568,-6.195990602,2.828427125,-0.796334049,-0.756434079,-0.03989997,1
47,2,37,0.003284015,-5.71868838,0.981688221,0.980158759,-0.001529463,15.5728387,13.30644802,-2.266390677,5.099019514,-0.077297707,-0.975479081,0.898181374,0
48,4,39,0.001,-6.907755279,0.992647435,0.990945728,-0.001701707,19.39347792,15.72322689,-3.670251035,2.828427125,0.082388422,-0.465066062,0.547454484,1
49,2,93,0.179348439,-1.718424779,0.11792738,0.115469362,-0.002458018,-1.353071146,-1.357968951,-0.004897805,0,0.688422804,0.670838219,0.017584585,0
